district;rooms;area_m2;lift;prices
Eixample;3;90;Yes;399000
Eixample;2;62;Yes;280000
Sarrià-Sant Gervasi;2;80;Yes;590000
Ciutat Vella;1;50;No;185000
Ciutat Vella;4;114;No;295000
Sarrià-Sant Gervasi;4;118;Yes;425000
Eixample;4;143;Yes;560000
Eixample;4;95;Yes;610000
Les Corts;3;60;Yes;260000
Sarrià-Sant Gervasi;4;150;Yes;850000
Eixample;2;88;Yes;360000
Gràcia;2;90;Yes;350000
Sants-Montjuïc;2;67;Yes;288000
Sant Martí;4;170;Yes;1686000
Sarrià-Sant Gervasi;3;145;Yes;720000
Sant Martí;2;52;No;99000
Sarrià-Sant Gervasi;8;483;No;2750000
Sarrià-Sant Gervasi;6;380;No;1850000
Gràcia;3;122;Yes;835000
Eixample;4;148;Yes;629000
Eixample;1;34;Yes;210000
Sant Martí;2;66;No;200000
Les Corts;4;90;Yes;420000
Sarrià-Sant Gervasi;3;93;Yes;395000
Sant Martí;2;92;No;360000
Ciutat Vella;4;84;No;299000
Sants-Montjuïc;2;81;Yes;299000
Les Corts;2;50;Yes;200000
Horta-Guinardó;3;95;Yes;449000
Sarrià-Sant Gervasi;4;170;Yes;950000
Sant Martí;4;92;Yes;245000
Sant Martí;2;49;No;99000
Sant Martí;4;87;Yes;230000
Eixample;2;71;Yes;265000
Sant Andreu;3;130;Yes;466000
Eixample;4;124;Yes;520000
Nou Barris;3;69;Yes;176000
Nou Barris;3;65;No;119000
Sants-Montjuïc;3;76;Yes;280000
Sants-Montjuïc;4;88;Yes;295000
Sarrià-Sant Gervasi;4;149;Yes;640000
Gràcia;1;80;Yes;429000
Sants-Montjuïc;2;69;No;228000
Eixample;3;87;Yes;395000
Gràcia;2;110;Yes;470000
Eixample;2;88;Yes;269000
Sants-Montjuïc;2;70;Yes;275000
Sarrià-Sant Gervasi;3;148;Yes;635000
Sants-Montjuïc;3;117;Yes;410000
Sant Martí;3;74;No;185000
Eixample;2;72;Yes;285000
Eixample;3;290;Yes;2450000
Eixample;5;123;Yes;369000
Sants-Montjuïc;3;83;Yes;250000
Horta-Guinardó;3;65;No;169800
Nou Barris;2;71;No;245000
Ciutat Vella;2;76;No;200000
Sant Martí;2;82;Yes;398000
Sants-Montjuïc;1;33;Yes;129000
Gràcia;3;60;No;310000
Les Corts;5;600;No;3990000
Ciutat Vella;3;86;Yes;349000
Sarrià-Sant Gervasi;3;160;Yes;845000
Eixample;3;122;Yes;570000
Ciutat Vella;3;86;No;270000
Nou Barris;3;62;No;139000
Nou Barris;3;96;Yes;215000
Sants-Montjuïc;3;120;Yes;463000
Sants-Montjuïc;3;150;No;239000
Ciutat Vella;3;56;No;283000
Sants-Montjuïc;4;81;Yes;405000
Eixample;4;113;Yes;425000
Ciutat Vella;3;83;Yes;320000
Gràcia;4;116;Yes;349000
Nou Barris;3;83;Yes;418200
Sants-Montjuïc;3;101;No;260000
Eixample;4;123;Yes;439000
Les Corts;2;185;Yes;1600000
Sant Andreu;3;73;Yes;206000
Eixample;4;98;Yes;360000
Ciutat Vella;3;80;No;250000
Ciutat Vella;2;63;No;240000
Eixample;3;114;Yes;1650000
Eixample;3;217;Yes;2290000
Eixample;2;72;Yes;360000
Les Corts;4;95;Yes;560000
Les Corts;4;91;Yes;525000
Eixample;4;225;Yes;1975000
Gràcia;4;122;Yes;595000
Eixample;3;90;Yes;1430000
Sarrià-Sant Gervasi;6;274;Yes;1190000
Sarrià-Sant Gervasi;6;492;Yes;4000000
Eixample;1;126;Yes;850000
Sant Martí;2;62;Yes;390000
Eixample;6;237;Yes;1800000
Eixample;3;200;Yes;1950000
Eixample;3;134;Yes;890000
Eixample;7;259;Yes;2450000
Eixample;4;475;Yes;5000000
Sants-Montjuïc;4;115;Yes;540000
Sarrià-Sant Gervasi;6;257;Yes;1250000
Ciutat Vella;4;269;Yes;1290000
Eixample;3;120;Yes;660000
Eixample;3;94;Yes;439000
Eixample;3;120;Yes;650000
Eixample;2;74;Yes;363400
Ciutat Vella;2;129;Yes;840000
Ciutat Vella;2;93;Yes;720000
Ciutat Vella;3;134;Yes;880000
Sant Martí;2;91;No;360000
Sant Martí;3;92;Yes;210000
Eixample;5;197;Yes;2500000
Ciutat Vella;1;72;No;275000
Sant Martí;3;125;Yes;498000
Sant Martí;3;81;Yes;217000
Horta-Guinardó;4;105;Yes;320000
Sant Martí;1;70;Yes;180000
Sants-Montjuïc;2;48;No;250000
Sants-Montjuïc;2;48;No;250000
Les Corts;2;68;Yes;340000
Sarrià-Sant Gervasi;3;81;Yes;550000
Eixample;2;165;Yes;1290000
Eixample;4;95;Yes;390000
Horta-Guinardó;3;61;No;125000
Sants-Montjuïc;1;53;Yes;115000
Eixample;3;102;Yes;675000
Sant Martí;3;97;Yes;359000
Eixample;3;152;Yes;675000
Les Corts;4;338;Yes;2250000
Eixample;4;170;Yes;795000
Eixample;2;106;Yes;400000
Eixample;3;100;Yes;369000
Eixample;3;172;Yes;1295000
Eixample;3;136;Yes;1150000
Sant Martí;3;188;Yes;2500000
Ciutat Vella;4;200;Yes;1250000
Eixample;3;91;Yes;538000
Sant Martí;3;145;Yes;1300000
Eixample;3;169;Yes;995000
Eixample;2;91;Yes;630000
Ciutat Vella;3;198;Yes;1600000
Eixample;1;82;Yes;260000
Gràcia;4;191;Yes;2300000
Gràcia;4;109;Yes;529000
Sant Martí;2;72;Yes;395000
Eixample;4;145;Yes;760000
Eixample;2;74;Yes;495000
Ciutat Vella;2;134;Yes;449000
Eixample;3;189;Yes;930000
Sarrià-Sant Gervasi;3;139;Yes;1150000
Eixample;2;57;No;345000
Eixample;3;106;Yes;699000
Eixample;5;198;Yes;790000
Sarrià-Sant Gervasi;3;120;Yes;649999
Eixample;5;197;Yes;990000
Eixample;3;70;Yes;289000
Eixample;3;83;Yes;330000
Sarrià-Sant Gervasi;3;92;Yes;399000
Horta-Guinardó;2;75;Yes;215000
Sant Martí;2;100;Yes;499900
Eixample;4;120;Yes;545000
Sant Martí;5;201;Yes;860000
Sant Andreu;3;78;No;178000
Horta-Guinardó;3;53;Yes;185000
Horta-Guinardó;2;71;Yes;260000
Eixample;3;100;Yes;469000
Sant Andreu;3;70;Yes;256000
Sants-Montjuïc;4;420;No;1450000
Sant Andreu;2;62;No;129000
Ciutat Vella;3;72;Yes;335000
Sants-Montjuïc;4;103;Yes;422000
Sants-Montjuïc;3;107;Yes;399000
Ciutat Vella;1;63;No;285000
Eixample;4;103;Yes;369000
Sant Andreu;3;67;Yes;240000
Sant Martí;3;92;Yes;359000
Sant Martí;5;206;Yes;874800
Sarrià-Sant Gervasi;4;214;Yes;1750000
Eixample;1;58;Yes;145000
Les Corts;4;96;Yes;385000
Horta-Guinardó;2;69;Yes;270000
Sant Martí;3;94;Yes;295000
Sant Martí;4;92;Yes;210000
Eixample;3;105;Yes;499000
Gràcia;3;76;Yes;295000
Sarrià-Sant Gervasi;4;140;Yes;670000
Eixample;4;93;Yes;345000
Eixample;3;70;Yes;280000
Horta-Guinardó;3;65;Yes;199000
Ciutat Vella;3;78;No;266000
Sant Martí;2;80;Yes;560000
Horta-Guinardó;3;88;Yes;230000
Eixample;3;128;Yes;850000
Horta-Guinardó;2;85;No;210000
Les Corts;4;86;Yes;420000
Eixample;3;115;Yes;995000
Sants-Montjuïc;3;75;Yes;215000
Nou Barris;3;68;Yes;200000
Les Corts;4;95;Yes;570000
Eixample;3;118;Yes;610000
Les Corts;4;131;Yes;449000
Eixample;3;140;Yes;675000
Sant Andreu;2;74;No;200000
Les Corts;4;100;Yes;560000
Gràcia;3;107;Yes;500000
Sarrià-Sant Gervasi;2;101;Yes;800000
Sant Andreu;3;75;Yes;199000
Sant Andreu;4;119;Yes;279900
Gràcia;4;200;No;770000
Eixample;4;97;Yes;375000
Ciutat Vella;3;145;No;450000
Eixample;2;86;Yes;420000
Ciutat Vella;3;89;Yes;450000
Sarrià-Sant Gervasi;3;120;Yes;660000
Ciutat Vella;1;29;No;119000
Ciutat Vella;3;67;Yes;230000
Sarrià-Sant Gervasi;3;85;Yes;445000
Horta-Guinardó;2;58;Yes;284000
Sants-Montjuïc;3;69;Yes;310000
Sant Andreu;3;69;No;259000
Sants-Montjuïc;3;62;Yes;215000
Sant Martí;3;56;No;199000
Eixample;1;53;Yes;260000
Gràcia;3;220;No;950000
Sants-Montjuïc;4;112;Yes;379000
Ciutat Vella;4;143;No;410000
Les Corts;2;95;Yes;530500
Les Corts;2;100;Yes;630000
Les Corts;2;102;Yes;550000
Gràcia;2;88;Yes;646000
Ciutat Vella;3;153;No;570000
Les Corts;4;215;Yes;1050000
Gràcia;2;88;No;440000
Sarrià-Sant Gervasi;3;220;No;890000
Eixample;1;46;Yes;297000
Sarrià-Sant Gervasi;3;234;Yes;1100000
Sants-Montjuïc;2;50;Yes;290000
Sarrià-Sant Gervasi;4;149;Yes;960000
Ciutat Vella;3;86;No;359000
Ciutat Vella;2;81;No;440000
Sarrià-Sant Gervasi;4;280;Yes;2750000
Ciutat Vella;2;219;Yes;1280000
Sarrià-Sant Gervasi;4;323;No;1890000
Sant Martí;3;136;No;890000
Ciutat Vella;2;103;Yes;680000
Gràcia;4;120;No;499000
Eixample;2;91;Yes;375000
Sant Martí;1;56;Yes;432000
Sant Martí;2;58;Yes;435000
Sarrià-Sant Gervasi;6;546;No;1750000
Ciutat Vella;2;318;Yes;2500000
Sarrià-Sant Gervasi;3;265;No;2750000
Sarrià-Sant Gervasi;6;380;No;1850000
Sarrià-Sant Gervasi;5;376;No;1150000
Les Corts;8;750;No;5800000
Sarrià-Sant Gervasi;4;191;Yes;1175000
Sarrià-Sant Gervasi;6;300;Yes;1550000
Sants-Montjuïc;3;106;Yes;417000
Sant Martí;3;147;Yes;960000
Ciutat Vella;2;137;No;370000
Sarrià-Sant Gervasi;4;256;Yes;1295000
Les Corts;5;598;Yes;2490000
Gràcia;1;95;Yes;575000
Sants-Montjuïc;2;87;No;460000
Sants-Montjuïc;2;100;Yes;649000
Sarrià-Sant Gervasi;5;585;No;2350000
Eixample;3;72;Yes;390000
Sarrià-Sant Gervasi;4;555;Yes;2150000
Sants-Montjuïc;2;50;No;189000
Sants-Montjuïc;2;62;Yes;235000
Nou Barris;2;56;Yes;295800
Horta-Guinardó;4;197;No;480000
Nou Barris;3;75;Yes;276000
Gràcia;5;582;No;1690000
Sant Andreu;2;80;Yes;340000
Ciutat Vella;3;95;No;345000
Eixample;3;90;Yes;350000
Sants-Montjuïc;3;95;Yes;299000
Eixample;2;80;Yes;255000
Les Corts;3;131;Yes;564900
Sants-Montjuïc;2;87;Yes;315000
Eixample;4;82;Yes;310000
Gràcia;4;95;Yes;359900
Ciutat Vella;3;63;Yes;235000
Sant Andreu;4;93;Yes;329000
Eixample;4;117;Yes;280000
Sants-Montjuïc;4;100;Yes;300000
Sants-Montjuïc;4;93;Yes;335000
Eixample;3;61;Yes;299000
Horta-Guinardó;3;90;No;230000
Horta-Guinardó;3;91;Yes;415000
Sants-Montjuïc;1;41;No;215000
Sarrià-Sant Gervasi;3;71;Yes;359000
Sants-Montjuïc;1;47;No;280000
Eixample;2;91;Yes;690000
Gràcia;4;130;Yes;575000
Sant Martí;3;82;Yes;239900
Ciutat Vella;2;55;No;225000
Eixample;2;81;Yes;420000
Eixample;2;69;Yes;379000
Sant Martí;3;130;Yes;435000
Eixample;5;131;Yes;550000
Les Corts;4;139;Yes;840000
Eixample;3;73;Yes;300000
Sants-Montjuïc;3;90;Yes;199000
Horta-Guinardó;4;69;Yes;198000
Sant Andreu;2;70;Yes;285000
Sarrià-Sant Gervasi;3;250;Yes;1100000
Sant Martí;3;131;Yes;260000
Gràcia;3;107;Yes;495000
Horta-Guinardó;3;46;No;195000
Sarrià-Sant Gervasi;4;176;Yes;740000
Sant Martí;3;135;Yes;575000
Eixample;3;72;Yes;369000
Gràcia;3;70;No;400000
Ciutat Vella;4;221;Yes;1690000
Sant Martí;3;72;No;295000
Sants-Montjuïc;4;114;Yes;410000
Sarrià-Sant Gervasi;5;251;Yes;1630000
Eixample;3;121;Yes;595000
Ciutat Vella;2;55;No;160000
Ciutat Vella;4;133;Yes;495000
Sant Martí;2;75;Yes;398000
Ciutat Vella;1;90;Yes;800000
Sant Martí;2;66;Yes;169000
Sant Martí;3;105;Yes;695000
Eixample;4;96;Yes;350000
Sarrià-Sant Gervasi;4;290;Yes;1690000
Sarrià-Sant Gervasi;5;264;Yes;3500000
Sarrià-Sant Gervasi;3;82;Yes;550000
Eixample;5;183;Yes;699000
Eixample;3;91;Yes;375000
Eixample;1;85;Yes;329000
Sarrià-Sant Gervasi;2;198;Yes;1280000
Ciutat Vella;3;83;No;395000
Les Corts;5;314;Yes;2400000
Sant Martí;3;115;Yes;1090000
Les Corts;4;218;Yes;2250000
Sarrià-Sant Gervasi;3;130;Yes;1290000
Sants-Montjuïc;4;80;Yes;280000
Les Corts;6;686;No;4600000
Ciutat Vella;2;118;Yes;495000
Gràcia;3;582;No;1690000
Sarrià-Sant Gervasi;5;374;No;1950000
Sarrià-Sant Gervasi;5;281;Yes;1500000
Sarrià-Sant Gervasi;4;160;Yes;875000
Ciutat Vella;2;35;No;190000
Gràcia;2;49;Yes;245000
Eixample;4;84;Yes;299000
Sarrià-Sant Gervasi;5;412;No;2100000
Nou Barris;2;55;No;170000
Horta-Guinardó;1;40;Yes;198000
Sant Martí;3;175;No;1130000
Sant Martí;2;73;Yes;375000
Sarrià-Sant Gervasi;7;500;Yes;2950000
Sarrià-Sant Gervasi;6;355;Yes;2300000
Sarrià-Sant Gervasi;5;257;Yes;1650000
Sants-Montjuïc;4;334;No;797000
Sarrià-Sant Gervasi;4;111;Yes;495000
Eixample;3;147;Yes;1850000
Eixample;3;180;Yes;765000
Sarrià-Sant Gervasi;9;545;No;3900000
Eixample;3;112;Yes;499000
Eixample;3;123;Yes;1190000
Eixample;2;80;Yes;650000
Eixample;4;77;Yes;340000
Sants-Montjuïc;3;150;Yes;239000
Sant Martí;3;71;Yes;179000
Sant Andreu;3;104;Yes;588000
Sant Andreu;2;56;Yes;242000
Sant Andreu;3;104;Yes;523000
Sant Andreu;3;62;Yes;188000
Sant Martí;3;77;Yes;325000
Sarrià-Sant Gervasi;1;120;No;380000
Eixample;4;600;Yes;12000000
Nou Barris;2;49;Yes;167000
Eixample;2;63;No;195000
Les Corts;2;95;Yes;480000
Sants-Montjuïc;3;75;No;250000
Sants-Montjuïc;3;76;Yes;269000
Sant Martí;4;75;Yes;195000
Sant Martí;3;73;Yes;399000
Sants-Montjuïc;2;60;Yes;260000
Eixample;3;133;Yes;850000
Gràcia;3;79;Yes;445000
Ciutat Vella;1;40;No;170000
Ciutat Vella;2;59;No;230000
Les Corts;5;234;No;840000
Ciutat Vella;2;61;No;227000
Ciutat Vella;1;49;No;180000
Sant Martí;3;93;Yes;375000
Sant Martí;3;90;Yes;285000
Eixample;4;109;Yes;460000
Sants-Montjuïc;3;60;Yes;220000
Eixample;2;156;Yes;1900000
Eixample;2;149;Yes;1200000
Eixample;2;149;Yes;1325000
Eixample;3;113;Yes;415000
Gràcia;4;93;Yes;350000
Eixample;5;97;Yes;440000
Sant Martí;3;85;No;290000
Horta-Guinardó;6;132;Yes;389000
Sant Andreu;4;101;Yes;298000
Sants-Montjuïc;2;63;Yes;310000
Sants-Montjuïc;3;91;Yes;430000
Eixample;2;75;Yes;363400
Eixample;3;88;Yes;445500
Eixample;2;80;Yes;319000
Sants-Montjuïc;3;91;Yes;340000
Sant Martí;2;75;Yes;395000
Eixample;3;109;Yes;445000
Nou Barris;3;65;Yes;135000
Sarrià-Sant Gervasi;5;220;Yes;1100000
Ciutat Vella;2;85;No;234000
Sant Martí;4;86;Yes;339000
Eixample;3;87;Yes;365000
Ciutat Vella;4;84;Yes;297069
Eixample;3;88;Yes;399000
Sants-Montjuïc;3;99;Yes;299800
Sarrià-Sant Gervasi;4;274;Yes;839000
Gràcia;3;137;Yes;575000
Les Corts;2;95;Yes;479000
Ciutat Vella;1;34;No;165000
Sant Martí;2;70;Yes;420000
Sants-Montjuïc;4;86;Yes;335000
Sants-Montjuïc;3;79;Yes;253000
Eixample;2;63;No;350000
Gràcia;2;70;Yes;319000
Sant Martí;3;74;Yes;260000
Horta-Guinardó;3;58;Yes;196000
Gràcia;2;64;Yes;275000
Gràcia;1;56;No;320000
Ciutat Vella;3;71;No;195000
Sant Martí;3;67;No;289000
Eixample;4;122;Yes;415000
Sant Martí;3;91;Yes;290000
Les Corts;5;210;Yes;1030000
Sants-Montjuïc;3;62;Yes;250000
Eixample;1;42;Yes;228000
Ciutat Vella;3;117;Yes;840000
Ciutat Vella;2;76;Yes;465000
Ciutat Vella;2;151;Yes;565000
Ciutat Vella;2;84;Yes;475000
Eixample;2;68;Yes;470000
Eixample;3;62;Yes;385000
Ciutat Vella;2;75;Yes;319000
Sarrià-Sant Gervasi;3;80;Yes;415000
Eixample;4;230;Yes;2300000
Eixample;2;117;Yes;595000
Eixample;3;177;Yes;890000
Sarrià-Sant Gervasi;7;391;Yes;1690000
Eixample;2;75;No;298000
Eixample;4;135;Yes;795000
Gràcia;4;136;Yes;475000
Sant Martí;3;141;Yes;830000
Sant Martí;3;75;Yes;230000
Eixample;3;132;Yes;1180000
Eixample;1;86;Yes;870000
Gràcia;1;51;No;350000
Sant Martí;1;41;No;177000
Ciutat Vella;2;299;Yes;3500000
Eixample;3;139;Yes;1570000
Horta-Guinardó;3;54;Yes;250000
Eixample;3;85;Yes;380000
Eixample;4;140;Yes;530000
Sarrià-Sant Gervasi;4;129;Yes;685000
Ciutat Vella;1;111;No;550000
Nou Barris;3;66;Yes;295000
Sarrià-Sant Gervasi;1;73;Yes;310000
Sant Martí;2;83;Yes;235000
Sants-Montjuïc;3;68;No;152000
Sant Martí;3;76;Yes;169000
Gràcia;2;68;Yes;245000
Sants-Montjuïc;4;126;Yes;359000
Ciutat Vella;2;75;Yes;280000
Sarrià-Sant Gervasi;2;86;Yes;400000
Ciutat Vella;2;64;Yes;200000
Nou Barris;3;68;Yes;200000
Sants-Montjuïc;4;110;Yes;360000
Nou Barris;2;55;Yes;170000
Les Corts;4;144;Yes;670000
Sant Martí;2;84;Yes;425000
Nou Barris;2;125;Yes;449000
Sant Martí;3;179;Yes;538000
Sarrià-Sant Gervasi;5;131;Yes;650000
Nou Barris;3;68;No;141000
Sant Martí;3;77;Yes;169000
Eixample;2;96;Yes;439000
Sant Andreu;3;76;Yes;218000
Sant Andreu;4;89;Yes;264000
Sant Martí;3;117;Yes;568000
Sant Andreu;3;68;No;139000
Sarrià-Sant Gervasi;5;300;Yes;3500000
Sant Andreu;2;79;Yes;239000
Sarrià-Sant Gervasi;2;90;Yes;800000
Eixample;3;203;Yes;1790000
Nou Barris;4;94;Yes;305000
Sants-Montjuïc;2;95;No;367000
Les Corts;3;94;Yes;425000
Ciutat Vella;4;158;No;540000
Sarrià-Sant Gervasi;4;353;Yes;3100000
Les Corts;4;121;Yes;595000
Eixample;4;73;Yes;267000
Sarrià-Sant Gervasi;3;116;No;395000
Les Corts;6;800;No;6500000
Ciutat Vella;2;66;Yes;425000
Sants-Montjuïc;2;70;No;460000
Eixample;2;62;Yes;500000
Sants-Montjuïc;2;70;Yes;445000
Eixample;3;94;Yes;500000
Ciutat Vella;1;49;No;197500
Eixample;1;65;Yes;340000
Sant Martí;2;110;Yes;644000
Les Corts;5;147;Yes;695000
Gràcia;2;89;Yes;470000
Sarrià-Sant Gervasi;3;177;Yes;1000000
Eixample;4;142;Yes;595000
Horta-Guinardó;3;70;No;209000
Eixample;4;201;Yes;1360000
Eixample;2;89;Yes;400000
Ciutat Vella;2;117;No;470000
Ciutat Vella;2;90;Yes;445000
Eixample;4;90;Yes;375000
Eixample;2;120;Yes;795000
Sants-Montjuïc;3;129;Yes;446000
Eixample;4;70;Yes;255000
Sant Andreu;2;159;Yes;399900
Ciutat Vella;2;130;Yes;710000
Eixample;3;92;Yes;360000
Nou Barris;2;55;No;170000
Eixample;2;75;Yes;435000
Eixample;1;68;Yes;330000
Ciutat Vella;3;60;Yes;249000
Eixample;4;60;Yes;210000
Les Corts;4;120;Yes;498000
Gràcia;2;70;Yes;428000
Sant Martí;4;106;Yes;545000
Ciutat Vella;2;88;Yes;285000
Sant Martí;4;170;No;453000
Les Corts;4;108;Yes;430000
Gràcia;2;63;Yes;265000
Sant Andreu;3;110;Yes;309000
Eixample;5;159;Yes;840000
Eixample;3;96;Yes;342000
Sants-Montjuïc;4;77;Yes;295000
Nou Barris;3;55;No;87000
Sant Martí;4;85;Yes;298000
Nou Barris;3;70;Yes;140000
Gràcia;2;63;Yes;295000
Eixample;3;118;Yes;570000
Eixample;4;200;Yes;1650000
Sant Martí;4;91;Yes;285000
Eixample;4;117;Yes;655000
Eixample;2;121;Yes;1000000
Eixample;3;152;Yes;1550000
Eixample;2;73;Yes;395000
Eixample;4;146;Yes;595000
Horta-Guinardó;3;55;Yes;199000
Gràcia;2;99;Yes;375000
Sants-Montjuïc;3;111;Yes;550000
Sant Martí;4;273;No;1130000
Sants-Montjuïc;3;70;Yes;299000
Sarrià-Sant Gervasi;2;91;Yes;585000
Sant Martí;3;73;Yes;218000
Ciutat Vella;2;53;No;235000
Sarrià-Sant Gervasi;4;175;Yes;1050000
Sant Martí;2;66;Yes;199000
Ciutat Vella;3;166;Yes;1200000
Ciutat Vella;4;172;Yes;1115000
Ciutat Vella;2;72;Yes;590000
Sant Martí;2;105;Yes;375000
Sarrià-Sant Gervasi;5;185;Yes;950000
Sant Martí;2;48;Yes;209000
Les Corts;3;79;Yes;295000
Sants-Montjuïc;3;79;Yes;235000
Les Corts;4;120;Yes;595000
Sants-Montjuïc;3;72;Yes;295000
Gràcia;4;364;No;1149000
Les Corts;4;104;Yes;530000
Ciutat Vella;1;58;Yes;310000
Sants-Montjuïc;2;70;Yes;331000
Sarrià-Sant Gervasi;2;105;Yes;490000
Sant Andreu;3;65;Yes;219000
Les Corts;2;89;Yes;525000
Gràcia;3;65;No;255000
Eixample;4;70;Yes;259000
Ciutat Vella;4;102;No;350000
Eixample;3;126;Yes;698000
Sarrià-Sant Gervasi;3;103;Yes;460000
Les Corts;2;63;Yes;450000
Gràcia;4;228;Yes;680000
Les Corts;3;68;Yes;490000
Gràcia;2;60;Yes;365000
Sarrià-Sant Gervasi;2;90;Yes;478000
Eixample;2;87;Yes;470000
Eixample;2;84;Yes;630000
Gràcia;1;51;Yes;315400
Gràcia;1;53;Yes;342950
Eixample;4;117;Yes;550000
Eixample;2;71;Yes;540000
Les Corts;3;82;Yes;359000
Ciutat Vella;4;175;Yes;1145000
Sants-Montjuïc;3;98;Yes;435000
Eixample;5;214;Yes;3000000
Les Corts;6;255;Yes;2275000
Sants-Montjuïc;2;61;No;299500
Les Corts;5;226;Yes;1140000
Sant Martí;4;132;Yes;1980000
Sant Andreu;4;80;Yes;225000
Ciutat Vella;1;77;Yes;460000
Gràcia;1;35;Yes;134000
Ciutat Vella;2;106;Yes;600000
Sants-Montjuïc;3;80;Yes;245000
Ciutat Vella;4;95;Yes;380000
Sarrià-Sant Gervasi;1;54;Yes;209000
Sant Martí;4;101;Yes;230000
Sarrià-Sant Gervasi;2;56;No;285000
Gràcia;2;75;No;305000
Sarrià-Sant Gervasi;2;95;Yes;510000
Sarrià-Sant Gervasi;4;232;Yes;1750000
Sant Andreu;2;50;Yes;255000
Les Corts;2;110;Yes;335000
Ciutat Vella;5;95;No;220000
Les Corts;4;92;Yes;420708
Horta-Guinardó;3;64;Yes;290000
Sarrià-Sant Gervasi;5;331;Yes;1570000
Sant Martí;3;71;Yes;188000
Sant Martí;4;170;No;453000
Nou Barris;3;77;No;139900
Gràcia;2;85;No;410000
Gràcia;3;123;Yes;375000
Sarrià-Sant Gervasi;5;165;Yes;860000
Ciutat Vella;3;85;No;260000
Les Corts;4;83;Yes;350000
Eixample;3;113;Yes;530000
Eixample;2;83;No;250000
Sarrià-Sant Gervasi;3;121;Yes;600000
Sarrià-Sant Gervasi;4;120;Yes;509000
Eixample;2;91;Yes;600000
Eixample;4;160;Yes;760000
Gràcia;2;108;Yes;530000
Sarrià-Sant Gervasi;3;90;Yes;695000
Sarrià-Sant Gervasi;3;118;Yes;921000
Sarrià-Sant Gervasi;2;87;Yes;725000
Sant Martí;2;81;Yes;411000
Sarrià-Sant Gervasi;1;51;Yes;403000
Sant Martí;1;89;Yes;577500
Sant Martí;1;95;Yes;617000
Sant Martí;1;63;Yes;378500
Sant Martí;2;76;Yes;426000
Sant Martí;3;96;Yes;473500
Eixample;3;105;Yes;1269000
Eixample;3;105;Yes;1075000
Eixample;4;210;Yes;1879000
Nou Barris;3;83;Yes;418200
Sarrià-Sant Gervasi;3;124;Yes;795000
Sarrià-Sant Gervasi;1;62;Yes;445000
Sarrià-Sant Gervasi;1;62;Yes;420000
Sant Martí;5;201;Yes;860000
Sant Martí;5;206;Yes;874800
Les Corts;2;102;Yes;550000
Les Corts;2;95;Yes;530500
Les Corts;2;100;Yes;630000
Gràcia;2;88;Yes;646000
Nou Barris;2;56;Yes;295800
Eixample;2;150;Yes;2158000
Eixample;2;85;Yes;858000
Eixample;2;192;Yes;2188000
Sarrià-Sant Gervasi;2;102;Yes;845000
Sarrià-Sant Gervasi;2;106;Yes;880000
Sarrià-Sant Gervasi;2;106;Yes;1035000
Horta-Guinardó;3;116;Yes;435000
Ciutat Vella;2;76;Yes;465000
Ciutat Vella;2;151;Yes;565000
Ciutat Vella;2;84;Yes;475000
Sants-Montjuïc;1;79;Yes;355000
Sants-Montjuïc;2;69;Yes;331000
Sants-Montjuïc;2;69;Yes;337000
Eixample;2;76;Yes;490000
Eixample;2;76;Yes;505000
Eixample;2;77;Yes;495000
Eixample;1;50;Yes;295000
Eixample;1;50;Yes;315000
Eixample;2;68;Yes;375000
Ciutat Vella;4;172;Yes;1115000
Ciutat Vella;2;72;Yes;590000
Ciutat Vella;3;166;Yes;1200000
Gràcia;1;51;Yes;315400
Gràcia;1;53;Yes;342950
Eixample;2;60;Yes;370000
Eixample;2;60;Yes;380000
Eixample;2;60;Yes;365000
Sant Martí;2;66;Yes;400000
Sant Martí;3;96;Yes;560000
Sant Martí;3;96;Yes;545000
Sant Martí;3;124;Yes;575700
Sant Martí;1;71;Yes;341000
Sant Martí;2;122;Yes;548400
Sarrià-Sant Gervasi;1;45;Yes;440000
Sarrià-Sant Gervasi;1;50;Yes;520000
Sarrià-Sant Gervasi;1;45;Yes;407000
Eixample;4;159;Yes;820000
Eixample;2;78;Yes;435000
Eixample;3;149;Yes;745000
Nou Barris;2;66;Yes;331500
Ciutat Vella;1;50;Yes;322000
Ciutat Vella;2;62;Yes;478000
Ciutat Vella;1;59;Yes;352000
Sarrià-Sant Gervasi;3;101;Yes;775000
Sarrià-Sant Gervasi;2;95;Yes;820000
Sarrià-Sant Gervasi;3;91;Yes;749000
Gràcia;3;94;Yes;595000
Gràcia;1;53;Yes;309000
Gràcia;2;72;Yes;470000
Eixample;1;55;Yes;367200
Eixample;1;55;Yes;345600
Eixample;1;55;Yes;356400
Eixample;3;89;Yes;540000
Eixample;3;89;Yes;530000
Eixample;2;72;Yes;580000
Eixample;3;111;Yes;1095000
Eixample;3;105;Yes;1475000
Sant Andreu;4;102;Yes;430000
Sant Martí;1;67;Yes;359000
Sarrià-Sant Gervasi;2;69;Yes;608000
Sarrià-Sant Gervasi;2;70;Yes;599000
Sarrià-Sant Gervasi;2;69;Yes;583000
Horta-Guinardó;3;91;Yes;425000
Horta-Guinardó;3;91;Yes;415000
Sant Martí;2;86;Yes;469000
Horta-Guinardó;3;114;Yes;430000
Horta-Guinardó;3;116;Yes;415000
Sants-Montjuïc;2;68;Yes;242400
