district;neighborhood;condition;type;rooms;area_m2;floor;prices;lift;views
Eixample;Sant Antoni;good condition;Flat;4;148; floor 1;629000;Yes;exterior
Eixample;Sant Antoni;good condition;Penthouse;1;34; floor 6;210000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;good condition;Flat;2;66; floor 3;200000;No;exterior
Les Corts;la Maternitat i Sant Ramon;good condition;Flat;4;90; floor 7;420000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Flat;3;93; floor 1;395000;Yes;exterior
Sant Martí;el Poblenou;good condition;Penthouse;2;92; floor 3;360000;No;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;4;84;ground floor;299000;No;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;2;81; floor 4;299000;Yes;exterior
Les Corts;les Corts;good condition;Flat;2;50; floor 1;200000;Yes;interior
Horta-Guinardó;el Guinardó;good condition;Flat;3;95; floor 6;449000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;4;170;mezzanine;950000;Yes;exterior
Sant Martí;la Verneda i la Pau;good condition;Flat;4;92; floor 3;245000;Yes;exterior
Sant Martí;el Besòs i el Maresme;good condition;Flat;2;49; floor 1;99000;No;exterior
Sant Martí;la Verneda i la Pau;good condition;Flat;4;87; floor 10;230000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;2;71; floor 3;265000;Yes;exterior
Sant Andreu;el Bon Pastor;good condition;Penthouse;3;130; floor 6;466000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;4;124; floor 4;520000;Yes;exterior
Nou Barris;Porta;good condition;Flat;3;69; floor 3;176000;Yes;exterior
Nou Barris;la Trinitat Nova;good condition;Flat;3;65; floor 3;119000;No;exterior
Sants-Montjuïc;Sants;good condition;Flat;3;76; floor 2;280000;Yes;exterior
Sants-Montjuïc;Hostafrancs;good condition;Flat;4;88; floor 5;295000;Yes;interior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;149; floor 1;640000;Yes;exterior
Gràcia;Vallcarca i els Penitents;good condition;Penthouse;1;80; floor 4;429000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;2;69; floor 4;228000;No;exterior
Eixample;el Fort Pienc;good condition;Flat;3;87; floor 1;395000;Yes;exterior
Gràcia;el Coll;good condition;Penthouse;2;110; floor 4;470000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;2;88;ground floor;269000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;2;70;mezzanine;275000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Flat;3;148; floor 2;635000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;3;117; floor 4;410000;Yes;exterior
Sant Martí;Sant Martí de Provençals;good condition;Flat;3;74; floor 2;185000;No;exterior
Eixample;el Fort Pienc;good condition;Flat;2;72; floor 3;285000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;290;mezzanine;2450000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;5;123; floor 1;369000;Yes;exterior
Sants-Montjuïc;Sants - Badal;good condition;Flat;3;83; floor 4;250000;Yes;exterior
Horta-Guinardó;el Guinardó;good condition;Flat;3;65; floor 2;169800;No;interior
Nou Barris;Porta;good condition;Flat;2;71; floor 1;245000;No;exterior
Ciutat Vella;el Raval;good condition;Flat;2;76; floor 2;200000;No;interior
Sant Martí;el Poblenou;good condition;Flat;2;82; floor 3;398000;Yes;exterior
Sants-Montjuïc;Sants - Badal;good condition;Flat;1;33;ground floor;129000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;3;60; floor 1;310000;No;exterior
Les Corts;Pedralbes;good condition;House;5;600;Multiple;3990000;No;exterior
Ciutat Vella;el Raval;good condition;Flat;3;86; floor 1;349000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;3;160;ground floor;845000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;122;mezzanine;570000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;3;86; floor 1;270000;No;exterior
Nou Barris;la Prosperitat;good condition;Flat;3;62; floor 1;139000;No;exterior
Nou Barris;Canyelles;good condition;Flat;3;96; floor 12;215000;Yes;exterior
Sants-Montjuïc;Sants - Badal;good condition;Flat;3;120; floor 6;463000;Yes;exterior
Sants-Montjuïc;Sants;good condition;Flat;3;150;ground floor;239000;No;exterior
Ciutat Vella;la Barceloneta;good condition;Flat;3;56; floor 3;283000;No;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;4;81; floor 4;405000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;4;113; floor 5;425000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;3;83; floor 3;320000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Flat;4;116; floor 3;349000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;good condition;Flat;3;83; floor 3;418200;Yes;exterior
Sants-Montjuïc;la Marina de Port;good condition;Flat;3;101; floor 3;260000;No;exterior
Eixample;la Sagrada Família;good condition;Flat;4;123; floor 7;439000;Yes;exterior
Les Corts;les Corts;good condition;Flat;2;185; floor 5;1600000;Yes;exterior
Sant Andreu;el Congrés i els Indians;good condition;Flat;3;73; floor 3;206000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;4;98; floor 1;360000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;3;80; floor 2;250000;No;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;2;63;mezzanine;240000;No;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;114;mezzanine;1650000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;217; floor 3;2290000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;2;72; floor 1;360000;Yes;exterior
Les Corts;les Corts;good condition;Flat;4;95; floor 7;560000;Yes;exterior
Les Corts;les Corts;good condition;Flat;4;91; floor 2;525000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;225; floor 2;1975000;Yes;exterior
Gràcia;la Salut;good condition;Flat;4;122; floor 5;595000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Penthouse;3;90; floor 5;1430000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;6;274; floor 2;1190000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;6;492; floor 1;4000000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Penthouse;1;126; floor 6;850000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;good condition;Flat;2;62; floor 1;390000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;6;237;mezzanine;1800000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;200; floor 5;1950000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;134; floor 3;890000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;7;259; floor 6;2450000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;475; floor 3;5000000;Yes;exterior
Sants-Montjuïc;la Bordeta;good condition;Flat;4;115; floor 5;540000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Flat;6;257; floor 6;1250000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;4;269;mezzanine;1290000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;120; floor 2;660000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;3;94; floor 2;439000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;3;120;mezzanine;650000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;2;74;mezzanine;363400;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;2;129;mezzanine;840000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;2;93; floor 1;720000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;3;134; floor 1;880000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;good condition;Duplex;2;91;ground floor;360000;No;exterior
Sant Martí;la Verneda i la Pau;good condition;Flat;3;92; floor 4;210000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;5;197; floor 3;2500000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;1;72; floor 1;275000;No;exterior
Sant Martí;el Clot;good condition;Flat;3;125; floor 3;498000;Yes;exterior
Sant Martí;el Clot;good condition;Flat;3;81; floor 2;217000;Yes;exterior
Horta-Guinardó;el Guinardó;good condition;Flat;4;105;ground floor;320000;Yes;exterior
Sant Martí;la Verneda i la Pau;good condition;Flat;1;70; floor 1;180000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;2;48; floor 1;250000;No;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;2;48; floor 4;250000;No;exterior
Les Corts;les Corts;good condition;Penthouse;2;68; floor 8;340000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;3;81; floor 2;550000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;2;165; floor 5;1290000;Yes;interior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;4;95; floor 2;390000;Yes;exterior
Horta-Guinardó;la Teixonera;good condition;Flat;3;61; floor 2;125000;No;exterior
Sants-Montjuïc;la Font de la Guatlla;good condition;Flat;1;53;mezzanine;115000;Yes;interior
Eixample;la Dreta de l'Eixample;good condition;Penthouse;3;102; floor 9;675000;Yes;exterior
Sant Martí;el Besòs i el Maresme;good condition;Flat;3;97; floor 7;359000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;152; floor 1;675000;Yes;exterior
Les Corts;Pedralbes;good condition;Penthouse;4;338; floor 2;2250000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;4;170; floor 8;795000;Yes;exterior
Eixample;el Fort Pienc;good condition;Flat;2;106;mezzanine;400000;Yes;exterior
Eixample;el Fort Pienc;good condition;Flat;3;100; floor 2;369000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;172;mezzanine;1295000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;136; floor 3;1150000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;good condition;Penthouse;3;188; floor 21;2500000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;4;200; floor 4;1250000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;91; floor 9;538000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;good condition;Flat;3;145; floor 10;1300000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;169;mezzanine;995000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;91; floor 3;630000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;3;198; floor 4;1600000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;1;82; floor 1;260000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;4;191; floor 5;2300000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;4;109; floor 1;529000;Yes;exterior
Sant Martí;Provençals del Poblenou;good condition;Flat;2;72; floor 4;395000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;145; floor 6;760000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;2;74; floor 1;495000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;2;134;ground floor;449000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;189; floor 5;930000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;139; floor 2;1150000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;2;57; floor 2;345000;No;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;106; floor 1;699000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;5;198; floor 6;790000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;120; floor 5;649999;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;5;197;mezzanine;990000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;3;70; floor 4;289000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;3;83; floor 2;330000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Flat;3;92; floor 3;399000;Yes;exterior
Horta-Guinardó;el Guinardó;good condition;Flat;2;75;ground floor;215000;Yes;exterior
Sant Martí;Provençals del Poblenou;good condition;Flat;2;100; floor 3;499900;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;4;120; floor 4;545000;Yes;exterior
Sant Martí;el Besòs i el Maresme;good condition;Flat;5;201; floor 14;860000;Yes;exterior
Sant Andreu;el Bon Pastor;good condition;Flat;3;78; floor 2;178000;No;exterior
Horta-Guinardó;Horta;good condition;Flat;3;53; floor 1;185000;Yes;exterior
Horta-Guinardó;el Guinardó;good condition;Flat;2;71; floor 3;260000;Yes;exterior
Eixample;el Fort Pienc;good condition;Flat;3;100; floor 3;469000;Yes;exterior
Sant Andreu;la Sagrera;good condition;Flat;3;70; floor 2;256000;Yes;exterior
Sants-Montjuïc;Sants;good condition;House;4;420;Multiple;1450000;No;exterior
Sant Andreu;el Bon Pastor;good condition;Flat;2;62; floor 2;129000;No;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;3;72; floor 1;335000;Yes;exterior
Sants-Montjuïc;la Bordeta;good condition;Flat;4;103; floor 5;422000;Yes;exterior
Sants-Montjuïc;Sants;good condition;Flat;3;107;mezzanine;399000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;1;63; floor 1;285000;No;exterior
Eixample;el Fort Pienc;good condition;Flat;4;103;mezzanine;369000;Yes;exterior
Sant Andreu;Navas;good condition;Penthouse;3;67; floor 6;240000;Yes;exterior
Sant Martí;el Poblenou;good condition;Flat;3;92; floor 2;359000;Yes;exterior
Sant Martí;el Besòs i el Maresme;good condition;Flat;5;206; floor 14;874800;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;214; floor 3;1750000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;1;58; floor 2;145000;Yes;interior
Les Corts;les Corts;good condition;Flat;4;96; floor 4;385000;Yes;exterior
Horta-Guinardó;el Baix Guinardó;good condition;Flat;2;69; floor 2;270000;Yes;exterior
Sant Martí;el Clot;good condition;Flat;3;94; floor 1;295000;Yes;exterior
Sant Martí;la Verneda i la Pau;good condition;Flat;4;92;mezzanine;210000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;105; floor 7;499000;Yes;interior
Gràcia;la Vila de Gràcia;good condition;Flat;3;76; floor 5;295000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Flat;4;140; floor 7;670000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;4;93; floor 6;345000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;70; floor 1;280000;Yes;exterior
Horta-Guinardó;Horta;good condition;Flat;3;65;mezzanine;199000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;3;78; floor 4;266000;No;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;good condition;Flat;2;80; floor 11;560000;Yes;exterior
Horta-Guinardó;el Baix Guinardó;good condition;Flat;3;88; floor 1;230000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;128; floor 6;850000;Yes;exterior
Horta-Guinardó;el Guinardó;good condition;Flat;2;85; floor 1;210000;No;exterior
Les Corts;la Maternitat i Sant Ramon;good condition;Flat;4;86; floor 8;420000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;3;115; floor 1;995000;Yes;exterior
Sants-Montjuïc;Hostafrancs;good condition;Flat;3;75; floor 2;215000;Yes;interior
Nou Barris;Porta;good condition;Flat;3;68; floor 6;200000;Yes;exterior
Les Corts;les Corts;good condition;Flat;4;95; floor 7;570000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;118; floor 4;610000;Yes;exterior
Les Corts;les Corts;good condition;Flat;4;131; floor 2;449000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;140; floor 7;675000;Yes;exterior
Sant Andreu;Navas;good condition;Flat;2;74;mezzanine;200000;No;exterior
Les Corts;les Corts;good condition;Flat;4;100; floor 7;560000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;3;107; floor 2;500000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;2;101; floor 8;800000;Yes;exterior
Sant Andreu;Sant Andreu;good condition;Flat;3;75; floor 5;199000;Yes;exterior
Sant Andreu;Sant Andreu;good condition;Flat;4;119; floor 1;279900;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Terraced;4;200;Multiple;770000;No;exterior
Eixample;Sant Antoni;good condition;Flat;4;97; floor 1;375000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;3;145; floor 3;450000;No;exterior
Eixample;Sant Antoni;good condition;Flat;2;86; floor 1;420000;Yes;exterior
Ciutat Vella;la Barceloneta;good condition;Flat;3;89; floor 2;450000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;120; floor 1;660000;Yes;interior
Ciutat Vella;el Raval;good condition;Flat;1;29; floor 1;119000;No;exterior
Ciutat Vella;el Raval;good condition;Flat;3;67; floor 5;230000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Flat;3;85; floor 1;445000;Yes;exterior
Horta-Guinardó;la Font d'en Fargues;good condition;Flat;2;58; floor 1;284000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;3;69;ground floor;310000;Yes;exterior
Sant Andreu;el Congrés i els Indians;good condition;Flat;3;69; floor 1;259000;No;exterior
Sants-Montjuïc;la Font de la Guatlla;good condition;Flat;3;62; floor 5;215000;Yes;exterior
Sant Martí;Provençals del Poblenou;good condition;Flat;3;56; floor 2;199000;No;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;1;53; floor 5;260000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Semi-detached;3;220;Multiple;950000;No;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;4;112; floor 1;379000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;4;143; floor 2;410000;No;exterior
Les Corts;les Corts;good condition;Flat;2;95; floor 1;530500;Yes;exterior
Les Corts;les Corts;good condition;Flat;2;100; floor 4;630000;Yes;exterior
Les Corts;les Corts;good condition;Flat;2;102; floor 1;550000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;2;88; floor 2;646000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;3;153; floor 1;570000;No;exterior
Les Corts;Pedralbes;good condition;Flat;4;215; floor 7;1050000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;2;88; floor 2;440000;No;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;House;3;220;Multiple;890000;No;exterior
Eixample;el Fort Pienc;good condition;Flat;1;46; floor 3;297000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;3;234;ground floor;1100000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;2;50;mezzanine;290000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;4;149; floor 6;960000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;3;86; floor 2;359000;No;exterior
Ciutat Vella;el Raval;good condition;Flat;2;81; floor 2;440000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;280;ground floor;2750000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;2;219; floor 1;1280000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;House;4;323;Multiple;1890000;No;exterior
Sant Martí;el Poblenou;good condition;House;3;136;Multiple;890000;No;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;2;103; floor 1;680000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;4;120; floor 1;499000;No;interior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;2;91; floor 1;375000;Yes;exterior
Sant Martí;el Poblenou;good condition;Flat;1;56; floor 2;432000;Yes;exterior
Sant Martí;Provençals del Poblenou;good condition;Flat;2;58; floor 2;435000;Yes;exterior
Sarrià-Sant Gervasi;Vallvidrera - el Tibidabo i les Planes;good condition;House;6;546;Multiple;1750000;No;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;2;318; floor 4;2500000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;good condition;House;3;265;Multiple;2750000;No;exterior
Sarrià-Sant Gervasi;Vallvidrera - el Tibidabo i les Planes;good condition;House;6;380;Multiple;1850000;No;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;House;5;376;Multiple;1150000;No;exterior
Les Corts;Pedralbes;good condition;House;8;750;Multiple;5800000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;191; floor 1;1175000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;6;300; floor 5;1550000;Yes;exterior
Sants-Montjuïc;la Font de la Guatlla;good condition;Flat;3;106; floor 2;417000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;good condition;Flat;3;147; floor 14;960000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;2;137;ground floor;370000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;4;256;ground floor;1295000;Yes;exterior
Les Corts;Pedralbes;good condition;Penthouse;5;598; floor 4;2490000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;1;95;ground floor;575000;Yes;exterior
Sants-Montjuïc;Sants;good condition;Flat;2;87;mezzanine;460000;No;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Penthouse;2;100; floor 2;649000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;House;5;585;Multiple;2350000;No;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;72; floor 6;390000;Yes;exterior
Sarrià-Sant Gervasi;les Tres Torres;good condition;Penthouse;4;555; floor 5;2150000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;2;50;mezzanine;189000;No;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;2;62;mezzanine;235000;Yes;exterior
Nou Barris;Vilapicina i la Torre Llobeta;good condition;Flat;2;56; floor 1;295800;Yes;exterior
Horta-Guinardó;Horta;good condition;Terraced;4;197;Multiple;480000;No;exterior
Nou Barris;Vilapicina i la Torre Llobeta;good condition;Flat;3;75; floor 6;276000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Detached;5;582;Multiple;1690000;No;exterior
Sant Andreu;el Congrés i els Indians;good condition;Flat;2;80; floor 1;340000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;3;95; floor 1;345000;No;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;90; floor 5;350000;Yes;interior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;3;95; floor 1;299000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;2;80;mezzanine;255000;Yes;exterior
Les Corts;les Corts;good condition;Flat;3;131; floor 3;564900;Yes;exterior
Sants-Montjuïc;Sants;good condition;Flat;2;87; floor 1;315000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Penthouse;4;82; floor 7;310000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;4;95; floor 2;359900;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;3;63; floor 6;235000;Yes;exterior
Sant Andreu;Navas;good condition;Flat;4;93; floor 2;329000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;117; floor 1;280000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;4;100; floor 5;300000;Yes;exterior
Sants-Montjuïc;la Font de la Guatlla;good condition;Flat;4;93; floor 6;335000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;3;61; floor 4;299000;Yes;exterior
Horta-Guinardó;la Teixonera;good condition;Flat;3;90; floor 2;230000;No;exterior
Horta-Guinardó;Horta;good condition;Flat;3;91; floor 1;415000;Yes;exterior
Sants-Montjuïc;Sants - Badal;good condition;Flat;1;41;ground floor;215000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;71; floor 3;359000;Yes;exterior
Sants-Montjuïc;Sants;good condition;Flat;1;47;mezzanine;280000;No;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;91; floor 1;690000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;4;130; floor 3;575000;Yes;exterior
Sant Martí;el Clot;good condition;Flat;3;82; floor 3;239900;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;2;55; floor 3;225000;No;exterior
Eixample;Sant Antoni;good condition;Flat;2;81; floor 1;420000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;2;69; floor 2;379000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;good condition;Penthouse;3;130; floor 8;435000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;5;131; floor 6;550000;Yes;exterior
Les Corts;les Corts;good condition;Penthouse;4;139; floor 4;840000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;3;73; floor 5;300000;Yes;exterior
Sants-Montjuïc;la Marina de Port;good condition;Flat;3;90; floor 6;199000;Yes;exterior
Horta-Guinardó;Horta;good condition;Flat;4;69; floor 3;198000;Yes;exterior
Sant Andreu;Sant Andreu;good condition;Flat;2;70; floor 3;285000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;3;250;ground floor;1100000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;good condition;Flat;3;131; floor 2;260000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;3;107; floor 2;495000;Yes;exterior
