district;neighborhood;condition;type;rooms;area_m2;floor;prices;lift;views
Les Corts;Pedralbes;good condition;Flat;4;206; floor 11;1250000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;4;232; floor 2;1175000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;203; floor 1;1095000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;1;59; floor 4;480000;Yes;exterior
Eixample;Sant Antoni;good condition;Penthouse;4;167; floor 6;695000;Yes;exterior
Les Corts;Pedralbes;good condition;Flat;5;232; floor 2;1660000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Duplex;4;800;ground floor;1700000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;2;86;ground floor;298000;No;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Flat;4;105; floor 2;425000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;3;145; floor 1;680000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;5;155; floor 4;875000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;148; floor 3;995000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;4;102; floor 3;440000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;5;250; floor 2;1100000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;101; floor 3;625000;Yes;exterior
Les Corts;la Maternitat i Sant Ramon;good condition;Flat;3;100; floor 2;385000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Penthouse;2;88; floor 4;710000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;1;77; floor 1;260000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;87; floor 5;399000;Yes;exterior
Sant Martí;el Clot;good condition;Flat;1;60; floor 1;179000;Yes;exterior
Sarrià-Sant Gervasi;Vallvidrera - el Tibidabo i les Planes;good condition;Detached;4;243;Multiple;650000;No;exterior
Eixample;el Fort Pienc;good condition;Flat;3;118; floor 2;445000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Semi-detached;5;311;Multiple;960000;No;exterior
Sarrià-Sant Gervasi;les Tres Torres;good condition;Flat;3;118; floor 2;795000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;72; floor 5;450000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;3;68; floor 3;233150;No;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;87; floor 5;365000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;90; floor 1;690000;Yes;exterior
Sarrià-Sant Gervasi;Vallvidrera - el Tibidabo i les Planes;good condition;Detached;5;380;Multiple;830000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;225; floor 6;1100000;Yes;exterior
Sant Martí;el Besòs i el Maresme;good condition;Flat;3;94; floor 7;359000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;House;6;296;Multiple;1350000;No;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;1;81;mezzanine;430000;No;exterior
Horta-Guinardó;la Font d'en Fargues;good condition;Rustic;5;161;Multiple;490000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Penthouse;3;140; floor 5;1050000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;134; floor 4;595000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;1;86; floor 4;390000;Yes;exterior
Les Corts;les Corts;good condition;Flat;4;170; floor 1;668000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Duplex;3;197; floor 2;800000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Penthouse;4;145; floor 5;760000;Yes;exterior
Les Corts;la Maternitat i Sant Ramon;good condition;Duplex;3;170;ground floor;490000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;4;101; floor 3;309000;Yes;interior
Horta-Guinardó;la Font d'en Fargues;good condition;Flat;4;122; floor 2;449000;No;exterior
Eixample;la Dreta de l'Eixample;good condition;Penthouse;2;213; floor 7;1500000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;105; floor 2;630000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;318; floor 4;2500000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;3;80; floor 2;365000;Yes;exterior
Sant Martí;Provençals del Poblenou;good condition;Flat;4;90; floor 4;370000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;4;109; floor 7;475000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;110; floor 3;645000;Yes;exterior
Eixample;el Fort Pienc;good condition;Flat;4;97; floor 2;495000;Yes;exterior
Eixample;Sant Antoni;good condition;Penthouse;3;101; floor 5;480000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Flat;3;130;mezzanine;630000;Yes;exterior
Gràcia;Vallcarca i els Penitents;good condition;Semi-detached;4;364;Multiple;1149000;No;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Semi-detached;5;465;Multiple;3370000;No;exterior
Les Corts;les Corts;good condition;Flat;3;88; floor 2;389000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Flat;4;85; floor 6;375000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;113;mezzanine;378000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;108;mezzanine;375000;Yes;exterior
Sants-Montjuïc;la Bordeta;good condition;Flat;4;90; floor 3;279500;Yes;exterior
Les Corts;les Corts;good condition;Flat;2;134; floor 1;670000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Flat;4;217; floor 4;1150000;Yes;exterior
Les Corts;les Corts;good condition;Flat;3;121; floor 6;1454000;Yes;exterior
Les Corts;les Corts;good condition;Flat;3;95; floor 5;1082000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;125; floor 5;690000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;2;71; floor 3;348000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Flat;3;90;ground floor;490000;No;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;90; floor 3;760000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;148;mezzanine;1325000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;5;206; floor 4;1095000;Yes;exterior
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;good condition;Penthouse;4;147; floor 5;790000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;118; floor 3;975000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;3;121; floor 1;465000;Yes;exterior
Gràcia;la Salut;good condition;Flat;3;91; floor 1;499000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;93; floor 8;405000;Yes;exterior
Horta-Guinardó;la Font d'en Fargues;good condition;Flat;2;64;ground floor;149000;No;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;138; floor 2;850000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;126; floor 1;735000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;130; floor 1;795000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;132;mezzanine;599000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;135; floor 4;895000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;115; floor 4;615000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;144; floor 4;630000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;141; floor 3;825000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;128; floor 4;749000;Yes;exterior
