district;neighborhood;rooms;area_m2;lift;prices;compra;eurometro
Eixample;la Dreta de l'Eixample;5;159;1;840000;0;5283
Sants-Montjuïc;Sants;2;87;0;460000;0;5287
Sant Martí;la Vila Olímpica del Poblenou;1;66;1;349125;0;5289
Sant Martí;el Parc i la Llacuna del Poblenou;1;103;1;545000;0;5291
Sant Martí;el Parc i la Llacuna del Poblenou;4;119;1;630000;0;5294
Sarrià-Sant Gervasi;Sarrià;4;217;1;1150000;0;5299
Sarrià-Sant Gervasi;Sarrià;5;217;1;1150000;0;5299
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;2;70;1;371000;0;5300
Sant Martí;la Vila Olímpica del Poblenou;2;73;1;387125;0;5303
Sant Martí;el Poblenou;2;75;1;398000;0;5306
Sant Martí;el Clot;4;112;1;594448;0;5307
Ciutat Vella;el Barri Gòtic;1;81;0;430000;0;5308
Horta-Guinardó;la Font d'en Fargues;3;81;1;430000;0;5308
Horta-Guinardó;el Baix Guinardó;3;113;1;600000;0;5309
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;129;1;685000;0;5310
Sarrià-Sant Gervasi;el Putxet i el Farró;2;90;1;478000;0;5311
Sant Martí;el Clot;3;80;1;425000;0;5312
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;160;1;850000;0;5312
Sarrià-Sant Gervasi;Sarrià;5;238;1;1265000;0;5315
Eixample;la Dreta de l'Eixample;5;206;1;1095000;0;5315
Eixample;l'Antiga Esquerra de l'Eixample;1;63;1;335000;0;5317
Eixample;l'Antiga Esquerra de l'Eixample;3;94;1;500000;0;5319
Les Corts;les Corts;3;122;1;650000;0;5327
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;7;488;0;2600000;0;5327
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;4;100;1;533000;0;5330
Horta-Guinardó;el Guinardó;1;45;1;240000;0;5333
Eixample;la Sagrada Família;3;120;1;640000;0;5333
Eixample;la Sagrada Família;3;89;1;475000;0;5337
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;281;1;1500000;0;5338
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;1;58;1;310000;0;5344
Sant Martí;la Vila Olímpica del Poblenou;3;130;1;695000;0;5346
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;144;1;770000;0;5347
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;115;1;615000;0;5347
Eixample;Sant Antoni;2;100;1;535000;0;5350
Nou Barris;Vilapicina i la Torre Llobeta;3;81;1;433500;0;5351
Ciutat Vella;el Barri Gòtic;2;70;1;375000;0;5357
Eixample;l'Antiga Esquerra de l'Eixample;4;140;1;750000;0;5357
Sant Martí;el Poblenou;1;67;1;359000;0;5358
Gràcia;Vallcarca i els Penitents;1;80;1;429000;0;5362
Gràcia;Vallcarca i els Penitents;2;80;1;429000;0;5362
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;95;1;510000;0;5368
Sarrià-Sant Gervasi;Sarrià;5;554;0;2975000;0;5370
Ciutat Vella;el Raval;1;86;1;462000;0;5372
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;4;147;1;790000;0;5374
Eixample;la Nova Esquerra de l'Eixample;4;130;1;699000;0;5376
Horta-Guinardó;el Guinardó;2;61;1;328000;0;5377
Horta-Guinardó;el Guinardó;1;50;1;269000;0;5380
