district;neighborhood;rooms;area_m2;lift;prices;compra;eurometro
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;3;141;1;830000;0;5886
Eixample;la Dreta de l'Eixample;3;169;1;995000;0;5887
Eixample;la Dreta de l'Eixample;4;135;1;795000;0;5888
Les Corts;Pedralbes;3;73;1;430000;0;5890
Les Corts;Pedralbes;3;73;1;430000;0;5890
Sarrià-Sant Gervasi;les Tres Torres;4;365;1;2150000;0;5890
Les Corts;les Corts;4;95;1;560000;0;5894
Les Corts;les Corts;4;95;1;560000;0;5894
Ciutat Vella;el Barri Gòtic;3;134;1;790000;0;5895
Les Corts;Pedralbes;2;89;1;525000;0;5898
Eixample;la Sagrada Família;1;50;1;295000;0;5900
Sarrià-Sant Gervasi;les Tres Torres;7;500;1;2950000;0;5900
Sant Martí;la Vila Olímpica del Poblenou;3;94;1;555000;0;5904
Sant Martí;la Vila Olímpica del Poblenou;1;66;1;390000;0;5909
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;132;1;780000;0;5909
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;6;406;1;2400000;0;5911
Eixample;la Nova Esquerra de l'Eixample;3;91;1;538000;0;5912
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;4;142;1;840000;0;5915
Nou Barris;Vilapicina i la Torre Llobeta;2;56;1;331500;0;5919
Ciutat Vella;el Barri Gòtic;2;90;1;533000;0;5922
Les Corts;Pedralbes;3;65;1;385000;0;5923
Eixample;l'Antiga Esquerra de l'Eixample;2;81;0;480000;0;5925
Les Corts;Pedralbes;3;70;1;415000;0;5928
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;128;1;759000;0;5929
Ciutat Vella;el Raval;2;80;1;475000;0;5937
Sant Martí;el Poblenou;3;96;1;570000;0;5937
Eixample;l'Antiga Esquerra de l'Eixample;3;96;1;570000;0;5937
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;160;1;950000;0;5937
Les Corts;Pedralbes;5;202;1;1200000;0;5940
Eixample;la Nova Esquerra de l'Eixample;3;95;1;565000;0;5947
Eixample;Sant Antoni;3;95;1;565000;0;5947
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;2;100;1;595000;0;5950
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;121;1;720000;0;5950
Eixample;Sant Antoni;3;89;1;530000;0;5955
Eixample;la Nova Esquerra de l'Eixample;3;89;1;530000;0;5955
Sants-Montjuïc;Sants;1;47;0;280000;0;5957
Les Corts;Pedralbes;3;73;1;435000;0;5958
Les Corts;Pedralbes;3;73;1;435000;0;5958
Les Corts;Pedralbes;3;73;1;435000;0;5958
Les Corts;Pedralbes;2;73;1;435000;0;5958
Sant Martí;el Camp de l'Arpa del Clot;2;52;1;310000;0;5961
Sant Martí;el Camp de l'Arpa del Clot;3;104;1;620000;0;5961
Ciutat Vella;el Raval;1;59;1;352000;0;5966
Eixample;la Dreta de l'Eixample;3;119;1;710000;0;5966
Les Corts;les Corts;2;60;1;358000;0;5966
Ciutat Vella;el Barri Gòtic;1;77;1;460000;0;5974
Sant Martí;la Vila Olímpica del Poblenou;2;87;1;520000;0;5977
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;132;1;790000;0;5984
Sant Martí;el Parc i la Llacuna del Poblenou;1;153;1;916000;0;5986
Sant Martí;el Parc i la Llacuna del Poblenou;1;138;1;826500;0;5989
Sant Martí;el Poblenou;2;70;1;420000;0;6000
Gràcia;el Camp d'en Grassot i Gràcia Nova;2;75;1;450000;0;6000
Les Corts;les Corts;4;95;1;570000;0;6000
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;105;1;630000;0;6000
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;150;0;900000;0;6000
Sarrià-Sant Gervasi;les Tres Torres;4;175;1;1050000;0;6000
Eixample;la Dreta de l'Eixample;5;200;1;1200000;0;6000
Eixample;la Dreta de l'Eixample;4;200;1;1200000;0;6000
Sarrià-Sant Gervasi;el Putxet i el Farró;3;200;1;1200000;0;6000
Les Corts;Pedralbes;4;225;1;1350000;0;6000
Sarrià-Sant Gervasi;les Tres Torres;4;225;1;1350000;0;6000
Sant Martí;el Parc i la Llacuna del Poblenou;1;63;1;378500;0;6007
Ciutat Vella;el Barri Gòtic;2;108;1;649000;0;6009
Sant Martí;el Parc i la Llacuna del Poblenou;1;151;1;907500;0;6009
Gràcia;el Camp d'en Grassot i Gràcia Nova;2;74;1;445000;0;6013
Sant Martí;el Parc i la Llacuna del Poblenou;1;164;1;986500;0;6015
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;123;1;740000;0;6016
Sant Martí;el Poblenou;2;68;1;409877;0;6027
Gràcia;el Camp d'en Grassot i Gràcia Nova;3;68;1;410000;0;6029
Eixample;Sant Antoni;4;136;1;820000;0;6029
Sant Martí;el Parc i la Llacuna del Poblenou;1;75;1;452500;0;6033
Eixample;l'Antiga Esquerra de l'Eixample;3;58;1;350000;0;6034
Les Corts;les Corts;4;139;1;840000;0;6043
Sarrià-Sant Gervasi;Sarrià;2;66;1;399000;0;6045
Sant Martí;el Clot;2;62;1;375000;0;6048
Eixample;l'Antiga Esquerra de l'Eixample;2;81;0;490000;0;6049
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;181;1;1095000;0;6049
Gràcia;la Vila de Gràcia;1;95;1;575000;0;6052
Eixample;la Nova Esquerra de l'Eixample;2;57;0;345000;0;6052
Eixample;l'Antiga Esquerra de l'Eixample;3;76;1;460000;0;6052
Sant Martí;el Clot;3;95;1;575000;0;6052
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;7;743;1;4500000;0;6056
Gràcia;la Vila de Gràcia;1;52;1;315000;0;6057
Sant Martí;el Camp de l'Arpa del Clot;2;52;1;315000;0;6057
Les Corts;Pedralbes;5;340;0;2060000;0;6058
Sant Martí;el Parc i la Llacuna del Poblenou;2;66;1;400000;0;6060
Eixample;la Sagrada Família;2;160;1;970000;0;6062
Ciutat Vella;el Raval;2;60;1;364000;0;6066
Eixample;Sant Antoni;3;89;1;540000;0;6067
Eixample;la Nova Esquerra de l'Eixample;3;89;1;540000;0;6067
Les Corts;Pedralbes;4;206;1;1250000;0;6067
Ciutat Vella;el Barri Gòtic;2;71;1;431000;0;6070
Les Corts;les Corts;2;98;1;595000;0;6071
Ciutat Vella;el Barri Gòtic;2;82;1;498000;0;6073
Gràcia;el Camp d'en Grassot i Gràcia Nova;2;107;1;650000;0;6074
Sant Martí;el Clot;2;65;1;395000;0;6076
Les Corts;Pedralbes;3;65;1;395000;0;6076
Gràcia;la Vila de Gràcia;2;60;1;365000;0;6083
Eixample;la Sagrada Família;2;60;1;365000;0;6083
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;180;1;1095000;0;6083
Eixample;la Sagrada Família;1;128;1;780000;0;6093
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;6;274;1;1670000;0;6094
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;2;82;1;500000;0;6097
Les Corts;Pedralbes;2;63;1;385000;0;6111
Eixample;l'Antiga Esquerra de l'Eixample;4;90;1;550000;0;6111
Les Corts;Pedralbes;4;180;1;1100000;0;6111
Ciutat Vella;el Barri Gòtic;2;79;1;483000;0;6113
Gràcia;Vallcarca i els Penitents;2;70;1;428000;0;6114
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;130;1;795000;0;6115
Ciutat Vella;el Raval;2;76;1;465000;0;6118
Ciutat Vella;el Raval;2;76;1;465000;0;6118
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;124;1;759000;0;6120
Gràcia;el Coll;4;294;0;1800000;0;6122
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;160;1;980000;0;6125
Eixample;la Dreta de l'Eixample;4;140;1;860000;0;6142
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;191;1;1175000;0;6151
Sant Martí;el Parc i la Llacuna del Poblenou;1;65;1;400000;0;6153
Les Corts;Pedralbes;3;69;1;425000;0;6159
Eixample;la Dreta de l'Eixample;3;138;1;850000;0;6159
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;7;730;0;4500000;0;6164
Eixample;la Sagrada Família;2;60;1;370000;0;6166
Eixample;Sant Antoni;1;34;1;210000;0;6176
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;2;89;1;550000;0;6179
Eixample;la Dreta de l'Eixample;4;190;1;1175000;0;6184
Gràcia;la Vila de Gràcia;1;51;1;315400;0;6184
Gràcia;la Vila de Gràcia;1;51;1;315400;0;6184
Eixample;la Sagrada Família;3;80;1;495000;0;6187
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;6;400;0;2475000;0;6187
Eixample;l'Antiga Esquerra de l'Eixample;2;101;1;625000;0;6188
Eixample;la Dreta de l'Eixample;1;42;1;260000;0;6190
Sant Martí;el Camp de l'Arpa del Clot;3;104;1;645000;0;6201
Eixample;la Sagrada Família;3;62;1;385000;0;6209
Les Corts;Pedralbes;3;62;1;385000;0;6209
Sant Martí;el Poblenou;3;112;1;695610;0;6210
Eixample;la Dreta de l'Eixample;4;189;1;1175000;0;6216
Sarrià-Sant Gervasi;el Putxet i el Farró;2;82;1;510000;0;6219
Ciutat Vella;el Raval;2;95;1;591000;0;6221
Ciutat Vella;el Raval;2;80;1;498000;0;6225
Ciutat Vella;el Raval;2;95;1;592000;0;6231
Les Corts;Pedralbes;3;69;1;430000;0;6231
Sant Martí;el Poblenou;4;113;1;705000;0;6238
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;285;1;1780000;0;6245
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;6;285;1;1780000;0;6245
Sant Martí;el Parc i la Llacuna del Poblenou;1;64;1;400000;0;6250
Sant Martí;el Parc i la Llacuna del Poblenou;1;64;1;400000;0;6250
Sant Martí;el Parc i la Llacuna del Poblenou;1;64;1;400000;0;6250
Nou Barris;les Roquetes;1;80;1;500000;0;6250
Sants-Montjuïc;Sants;2;60;1;375000;0;6250
Eixample;l'Antiga Esquerra de l'Eixample;3;72;1;450000;0;6250
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;6;144;1;900000;0;6250
Ciutat Vella;el Raval;4;200;1;1250000;0;6250
Sant Martí;el Poblenou;2;62;1;387537;0;6250
Sant Martí;el Poblenou;2;63;1;394000;0;6253
Sant Martí;el Camp de l'Arpa del Clot;4;99;1;620000;0;6262
Sarrià-Sant Gervasi;les Tres Torres;2;95;1;595000;0;6263
Sarrià-Sant Gervasi;Sarrià;3;126;1;790000;0;6269
Eixample;l'Antiga Esquerra de l'Eixample;1;55;1;345600;0;6283
Ciutat Vella;el Raval;3;109;1;685000;0;6284
Les Corts;Pedralbes;2;70;1;440000;0;6285
Sant Martí;la Vila Olímpica del Poblenou;1;66;1;415000;0;6287
Sant Martí;el Parc i la Llacuna del Poblenou;1;62;1;390000;0;6290
Sant Martí;el Parc i la Llacuna del Poblenou;2;62;1;390000;0;6290
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;143;1;900000;0;6293
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;143;1;900000;0;6293
Sant Martí;la Vila Olímpica del Poblenou;2;85;1;535000;0;6294
Eixample;la Sagrada Família;1;50;1;315000;0;6300
Les Corts;les Corts;2;100;1;630000;0;6300
Les Corts;les Corts;2;100;1;630000;0;6300
Les Corts;Pedralbes;3;73;1;460000;0;6301
Les Corts;Pedralbes;2;73;1;460000;0;6301
Sant Martí;Provençals del Poblenou;2;69;1;435000;0;6304
Les Corts;Pedralbes;3;69;1;435000;0;6304
Sarrià-Sant Gervasi;el Putxet i el Farró;2;84;1;530000;0;6309
Ciutat Vella;el Raval;1;51;1;322000;0;6313
Gràcia;la Salut;1;51;1;322000;0;6313
Eixample;la Dreta de l'Eixample;3;114;1;720000;0;6315
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;3;73;1;462000;0;6328
Gràcia;la Salut;3;94;1;595000;0;6329
Eixample;la Sagrada Família;2;60;1;380000;0;6333
Sarrià-Sant Gervasi;Sarrià;4;120;0;760000;0;6333
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;3;131;1;830000;0;6335
Eixample;la Dreta de l'Eixample;1;86;1;545000;0;6337
Sarrià-Sant Gervasi;Sarrià;2;86;1;545000;0;6337
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;1;78;1;495000;0;6346
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;104;1;660000;0;6346
Sant Martí;el Poblenou;3;96;1;610000;0;6354
Sants-Montjuïc;Hostafrancs;2;70;1;445000;0;6357
Les Corts;les Corts;3;125;1;795000;0;6360
Gràcia;el Camp d'en Grassot i Gràcia Nova;2;84;1;535000;0;6369
Les Corts;Pedralbes;3;62;1;395000;0;6370
Ciutat Vella;el Barri Gòtic;2;56;1;357000;0;6375
Eixample;la Dreta de l'Eixample;2;109;1;695000;0;6376
Ciutat Vella;el Barri Gòtic;1;58;1;370000;0;6379
Eixample;la Dreta de l'Eixample;1;94;1;600000;0;6382
Sant Martí;el Clot;2;65;1;415000;0;6384
Eixample;l'Antiga Esquerra de l'Eixample;3;133;1;850000;0;6390
Ciutat Vella;el Raval;1;53;1;339000;0;6396
Eixample;el Fort Pienc;3;78;1;499000;0;6397
Eixample;la Dreta de l'Eixample;2;100;1;640000;0;6400
Eixample;la Dreta de l'Eixample;3;100;1;640000;0;6400
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;2;82;1;525000;0;6402
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;124;1;795000;0;6411
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;99;1;635000;0;6414
Sant Martí;el Poblenou;3;85;1;545713;0;6420
Sarrià-Sant Gervasi;les Tres Torres;5;257;1;1650000;0;6420
Eixample;la Sagrada Família;4;95;1;610000;0;6421
Les Corts;les Corts;1;49;1;315000;0;6428
Eixample;la Dreta de l'Eixample;2;77;1;495000;0;6428
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;91;1;585000;0;6428
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;185;1;1190000;0;6432
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;185;1;1190000;0;6432
Eixample;l'Antiga Esquerra de l'Eixample;1;73;1;470000;0;6438
Eixample;l'Antiga Esquerra de l'Eixample;2;73;1;470000;0;6438
Ciutat Vella;el Barri Gòtic;2;66;1;425000;0;6439
Ciutat Vella;el Raval;1;50;1;322000;0;6440
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;4;149;1;960000;0;6442
Eixample;la Dreta de l'Eixample;2;76;1;490000;0;6447
Les Corts;Pedralbes;2;62;1;400000;0;6451
Eixample;el Fort Pienc;1;46;1;297000;0;6456
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;3;175;0;1130000;0;6457
Les Corts;Pedralbes;4;178;1;1150000;0;6460
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;198;1;1280000;0;6464
Gràcia;la Vila de Gràcia;1;53;1;342950;0;6470
Gràcia;la Vila de Gràcia;1;53;1;342950;0;6470
Les Corts;Pedralbes;5;309;1;2000000;0;6472
Sarrià-Sant Gervasi;les Tres Torres;6;355;1;2300000;0;6478
Sarrià-Sant Gervasi;les Tres Torres;6;355;1;2300000;0;6478
Eixample;l'Antiga Esquerra de l'Eixample;1;55;1;356400;0;6480
Ciutat Vella;el Barri Gòtic;4;172;1;1115000;0;6482
Ciutat Vella;el Barri Gòtic;4;172;1;1115000;0;6482
Sarrià-Sant Gervasi;el Putxet i el Farró;2;84;1;545000;0;6488
Sant Martí;el Poblenou;3;168;1;1090000;0;6488
Sant Martí;el Parc i la Llacuna del Poblenou;1;89;1;577500;0;6488
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;2;100;1;649000;0;6490
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;251;1;1630000;0;6494
Sant Martí;el Parc i la Llacuna del Poblenou;1;95;1;617000;0;6494
Sant Martí;el Poblenou;3;99;1;643496;0;6499
Sarrià-Sant Gervasi;Sarrià;3;92;1;598000;0;6500
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;100;1;650000;0;6500
Les Corts;Pedralbes;5;300;1;1950000;0;6500
Sant Martí;el Parc i la Llacuna del Poblenou;1;63;1;410000;0;6507
Sant Martí;el Parc i la Llacuna del Poblenou;1;108;1;703000;0;6509
Sant Martí;el Poblenou;3;106;1;690000;0;6509
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;2;129;1;840000;0;6511
Gràcia;el Camp d'en Grassot i Gràcia Nova;1;33;1;215000;0;6515
Eixample;la Dreta de l'Eixample;1;66;1;430000;0;6515
Sant Martí;el Parc i la Llacuna del Poblenou;1;110;1;717000;0;6518
Sant Martí;Provençals del Poblenou;2;107;1;698000;0;6523
Eixample;la Dreta de l'Eixample;1;59;1;385000;0;6525
Sant Martí;el Parc i la Llacuna del Poblenou;1;76;1;496000;0;6526
Gràcia;la Salut;2;72;1;470000;0;6527
Eixample;la Dreta de l'Eixample;3;121;1;790000;0;6528
Sant Martí;la Vila Olímpica del Poblenou;2;85;1;555000;0;6529
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;3;147;1;960000;0;6530
Gràcia;la Salut;3;94;1;615000;0;6542
Ciutat Vella;el Barri Gòtic;4;175;1;1145000;0;6542
Sant Martí;el Poblenou;3;136;0;890000;0;6544
Les Corts;Pedralbes;4;136;1;890000;0;6544
Eixample;l'Antiga Esquerra de l'Eixample;3;87;1;570000;0;6551
Eixample;l'Antiga Esquerra de l'Eixample;3;87;1;570000;0;6551
Eixample;la Dreta de l'Eixample;3;351;1;2300000;0;6552
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;2;132;1;865000;0;6553
Eixample;Sant Antoni;2;90;1;590000;0;6555
Eixample;Sant Antoni;2;90;1;590000;0;6555
Gràcia;la Vila de Gràcia;3;99;1;650000;0;6565
Eixample;la Dreta de l'Eixample;3;99;1;650000;0;6565
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;3;134;1;880000;0;6567
Sants-Montjuïc;Hostafrancs;2;70;0;460000;0;6571
Eixample;la Dreta de l'Eixample;3;120;1;790000;0;6583
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;2;82;1;540000;0;6585
Sant Martí;el Poblenou;3;92;1;606000;0;6586
Les Corts;Pedralbes;3;63;1;415000;0;6587
Eixample;l'Antiga Esquerra de l'Eixample;3;135;1;890000;0;6592
Eixample;Sant Antoni;2;91;1;600000;0;6593
Eixample;l'Antiga Esquerra de l'Eixample;3;106;1;699000;0;6594
Sant Martí;el Clot;2;72;1;475000;0;6597
Eixample;la Dreta de l'Eixample;2;100;1;660000;0;6600
Ciutat Vella;el Barri Gòtic;2;103;1;680000;0;6601
Les Corts;Pedralbes;3;103;1;680000;0;6601
Sarrià-Sant Gervasi;Sarrià;3;103;1;680000;0;6601
Eixample;la Dreta de l'Eixample;3;102;1;675000;0;6617
Sant Martí;Provençals del Poblenou;3;105;1;695000;0;6619
Eixample;Sant Antoni;2;120;1;795000;0;6625
Eixample;l'Antiga Esquerra de l'Eixample;3;135;1;895000;0;6629
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;113;1;750000;0;6637
Sant Martí;el Poblenou;3;113;1;750000;0;6637
Sant Martí;el Poblenou;3;113;1;750000;0;6637
Sarrià-Sant Gervasi;el Putxet i el Farró;1;58;1;385000;0;6637
Eixample;la Dreta de l'Eixample;1;64;1;425000;0;6640
Eixample;l'Antiga Esquerra de l'Eixample;3;128;1;850000;0;6640
Eixample;l'Antiga Esquerra de l'Eixample;3;134;1;890000;0;6641
Eixample;la Dreta de l'Eixample;7;271;1;1800000;0;6642
Eixample;la Dreta de l'Eixample;1;70;1;465000;0;6642
Eixample;la Dreta de l'Eixample;2;76;1;505000;0;6644
Sant Martí;la Vila Olímpica del Poblenou;2;85;1;565000;0;6647
Les Corts;Pedralbes;5;600;0;3990000;0;6650
Les Corts;Pedralbes;6;496;1;3300000;0;6653
Les Corts;Pedralbes;4;338;1;2250000;0;6656
Ciutat Vella;el Barri Gòtic;4;172;1;1145000;0;6656
Eixample;l'Antiga Esquerra de l'Eixample;2;105;1;699000;0;6657
Eixample;la Sagrada Família;2;60;1;400000;0;6666
Eixample;la Dreta de l'Eixample;3;180;1;1200000;0;6666
Sant Martí;el Poblenou;2;62;1;413729;0;6673
Eixample;l'Antiga Esquerra de l'Eixample;1;55;1;367200;0;6676
Eixample;la Dreta de l'Eixample;2;74;1;495000;0;6689
Ciutat Vella;el Raval;2;71;1;475000;0;6690
Les Corts;les Corts;2;102;1;683000;0;6696
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;1;50;1;335000;0;6700
Les Corts;les Corts;2;100;1;670000;0;6700
Gràcia;la Salut;3;94;1;630000;0;6702
Les Corts;Pedralbes;6;686;0;4600000;0;6705
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;3;82;1;550000;0;6707
Sarrià-Sant Gervasi;les Tres Torres;5;280;1;1880000;0;6714
Eixample;la Dreta de l'Eixample;3;148;1;995000;0;6722
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;3;156;1;1050000;0;6730
Sarrià-Sant Gervasi;les Tres Torres;3;118;1;795000;0;6737
Sarrià-Sant Gervasi;les Tres Torres;3;118;1;795000;0;6737
Eixample;la Dreta de l'Eixample;1;126;1;850000;0;6746
Sarrià-Sant Gervasi;les Tres Torres;5;200;1;1350000;0;6750
Eixample;la Dreta de l'Eixample;4;201;1;1360000;0;6766
Eixample;l'Antiga Esquerra de l'Eixample;3;133;1;900000;0;6766
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;5;240;1;1625000;0;6770
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;1;62;1;420000;0;6774
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;3;81;1;550000;0;6790
Eixample;l'Antiga Esquerra de l'Eixample;2;64;1;435200;0;6800
Eixample;la Dreta de l'Eixample;2;75;1;510000;0;6800
Les Corts;Pedralbes;4;500;0;3400000;0;6800
Eixample;la Dreta de l'Eixample;6;191;1;1300000;0;6806
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;102;1;695000;0;6813
Eixample;la Dreta de l'Eixample;1;71;1;485000;0;6830
Ciutat Vella;el Raval;2;71;1;485000;0;6830
Les Corts;les Corts;3;120;1;820000;0;6833
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;256;1;1750000;0;6835
Gràcia;la Vila de Gràcia;3;122;1;835000;0;6844
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;277;1;1900000;0;6859
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;277;1;1900000;0;6859
Horta-Guinardó;el Guinardó;2;58;1;398000;0;6862
Gràcia;la Vila de Gràcia;1;51;0;350000;0;6862
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;4;284;0;1950000;0;6866
Eixample;l'Antiga Esquerra de l'Eixample;1;55;1;378000;0;6872
Les Corts;les Corts;2;72;1;495000;0;6875
Gràcia;la Salut;2;72;1;495000;0;6875
Les Corts;les Corts;2;72;1;495000;0;6875
Eixample;la Dreta de l'Eixample;2;101;1;695000;0;6881
Sarrià-Sant Gervasi;el Putxet i el Farró;2;87;1;600000;0;6896
Eixample;l'Antiga Esquerra de l'Eixample;3;123;1;850000;0;6910
Eixample;l'Antiga Esquerra de l'Eixample;2;68;1;470000;0;6911
Gràcia;la Vila de Gràcia;2;90;1;622250;0;6913
Sant Martí;el Poblenou;2;62;1;429209;0;6922
Les Corts;Pedralbes;2;65;1;450000;0;6923
Eixample;l'Antiga Esquerra de l'Eixample;2;91;1;630000;0;6923
Les Corts;les Corts;2;100;1;695000;0;6950
Les Corts;les Corts;4;143;1;995000;0;6958
Eixample;Sant Antoni;1;33;1;230000;0;6969
Eixample;l'Antiga Esquerra de l'Eixample;2;64;1;448000;0;7000
Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;2;80;1;560000;0;7000
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;5;200;1;1400000;0;7000
Eixample;l'Antiga Esquerra de l'Eixample;2;157;1;1100000;0;7006
Les Corts;les Corts;4;157;1;1100000;0;7006
Eixample;la Dreta de l'Eixample;2;213;1;1500000;0;7042
Ciutat Vella;el Barri Gòtic;3;112;1;790000;0;7053
Sarrià-Sant Gervasi;el Putxet i el Farró;4;170;1;1200000;0;7058
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;3;177;1;1250000;0;7062
Les Corts;les Corts;4;143;1;1010000;0;7062
Eixample;l'Antiga Esquerra de l'Eixample;4;99;1;700000;0;7070
Sarrià-Sant Gervasi;el Putxet i el Farró;5;140;1;990000;0;7071
Eixample;la Dreta de l'Eixample;2;101;1;715000;0;7079
Les Corts;les Corts;2;72;1;510000;0;7083
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;1;67;1;475000;0;7089
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;2;62;1;440000;0;7096
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4;155;1;1100000;0;7096
Eixample;la Dreta de l'Eixample;1;71;1;505000;0;7112
Eixample;l'Antiga Esquerra de l'Eixample;1;52;1;370000;0;7115
Eixample;la Dreta de l'Eixample;2;125;1;890000;0;7120
Sant Martí;el Poblenou;4;139;1;990000;0;7122
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;13;491;0;3500000;0;7128
Les Corts;Pedralbes;2;63;1;450000;0;7142
Les Corts;Pedralbes;2;63;1;450000;0;7142
Eixample;la Dreta de l'Eixample;5;161;1;1150000;0;7142
Les Corts;Pedralbes;5;232;1;1660000;0;7155
Sarrià-Sant Gervasi;Sarrià;9;545;0;3900000;0;7155
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;1;62;1;445000;0;7177
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;3;117;1;840000;0;7179
Horta-Guinardó;el Baix Guinardó;3;87;1;625000;0;7183
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;1;50;1;360000;0;7200
Eixample;l'Antiga Esquerra de l'Eixample;3;75;1;540000;0;7200
Eixample;la Dreta de l'Eixample;2;100;1;720000;0;7200
Les Corts;Pedralbes;3;68;1;490000;0;7205
Gràcia;la Salut;2;72;1;520000;0;7222
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;3;90;1;650000;0;7222
Les Corts;les Corts;2;99;1;715000;0;7222
Sant Martí;la Vila Olímpica del Poblenou;2;110;1;795000;0;7227
Ciutat Vella;el Barri Gòtic;3;166;1;1200000;0;7228
Ciutat Vella;el Barri Gòtic;3;166;1;1200000;0;7228
Les Corts;les Corts;2;76;1;550000;0;7236
Sarrià-Sant Gervasi;Sarrià;5;465;0;3370000;0;7247
Les Corts;Pedralbes;2;62;1;450000;0;7258
Sarrià-Sant Gervasi;Sarrià;6;516;0;3750000;0;7267
Les Corts;Pedralbes;3;110;1;800000;0;7272
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;3;116;1;845000;0;7284
Les Corts;Pedralbes;5;274;1;2000000;0;7299
Eixample;la Dreta de l'Eixample;1;71;1;520000;0;7323
Eixample;l'Antiga Esquerra de l'Eixample;2;150;1;1100000;0;7333
Gràcia;la Vila de Gràcia;2;88;1;646000;0;7340
Gràcia;la Vila de Gràcia;2;88;1;646000;0;7340
Eixample;la Nova Esquerra de l'Eixample;2;81;1;595000;0;7345
Eixample;Sant Antoni;2;81;1;595000;0;7345
Sarrià-Sant Gervasi;Vallvidrera - el Tibidabo i les Planes;9;490;0;3600000;0;7346
